"accessions"	"CC001_F_1_tmm"	"CC001_F_2_tmm"	"CC001_F_3_tmm"	"CC001_M_1_tmm"	"CC001_M_2_tmm"	"CC001_M_3_tmm"	"CC003_F_1_tmm"	"CC003_F_2_tmm"	"CC003_F_3_tmm"	"CC003_M_1_tmm"	"CC003_M_2_tmm"	"CC003_M_3_tmm"	"CC004_F_1_tmm"	"CC004_F_2_tmm"	"CC004_F_3_tmm"	"CC004_M_1_tmm"	"CC004_M_2_tmm"	"CC004_M_3_tmm"	"CC017_F_1_tmm"	"CC017_F_2_tmm"	"CC017_F_3_tmm"	"CC017_M_1_tmm"	"CC017_M_2_tmm"	"CC017_M_3_tmm"
"sp|Q8C196|CPSM_MOUSE"	2314488997.79566	2066969136.19423	2408415284.78231	2922401092.91222	2756315663.91569	2573916976.67104	2122659218.67834	3363321065.60584	2313225411.18013	1745448473.56289	1713198646.84029	2144525798.88634	3121724897.64384	2698645160.59458	2966884869.71791	2640176681.67168	2403644546.32294	2667201677.60016	3142849366.22724	3459937952.48152	2892303547.03489	2393605315.70098	2402610395.57003	2486188457.10104
"sp|P16460|ASSY_MOUSE"	629601007.557162	533661731.624012	640412631.48698	870889636.149665	772568346.331692	762877944.457836	676586197.126873	1030353691.48203	796078032.760565	622857149.064367	587297769.162588	639474594.091135	852377021.317022	757236283.276509	807398882.013236	884562143.019203	807216895.724735	838493589.127675	1005190111.78513	1101679587.64949	943939548.904989	807047919.923009	915039003.66466	999877087.588394
"sp|P00329|ADH1_MOUSE"	576892952.404084	531203116.003855	577797470.768022	758087068.047389	676071546.726331	676260635.250575	448563975.241876	620613253.687456	512327982.875462	425939017.42519	455184829.383848	489227322.784989	659317680.556641	606584935.526471	668939565.502896	781660990.607239	744620048.346045	808612757.815133	508878402.763102	707227456.908345	551289786.609302	751265761.735258	664391740.317782	688188658.322977
"sp|Q91Y97|ALDOB_MOUSE"	387610216.622352	342159431.18543	411516431.924759	476250994.617329	491986259.972048	484150661.044247	377711249.054645	429686720.645092	356208708.094839	344334007.490797	347208130.516219	346652846.733959	356981904.116477	321706224.017549	358178148.954091	408704827.856083	380723738.983815	418831438.670036	379866732.514987	449074932.082462	371960039.403546	419290994.745971	418433953.082482	415837571.721267
"sp|P12710|FABPL_MOUSE"	477053479.94821	444585178.081812	373365240.281419	429457691.92452	397690722.170486	384454652.498843	284277556.111085	243019132.616055	403143431.848442	530234107.768775	575857491.573506	479584918.731834	363132419.865531	334360215.062301	325576569.6577	303987155.651335	376563036.614774	311176219.160858	279891128.431132	207667133.457818	350157162.360409	384831209.462227	389799778.855185	395286215.200595
"sp|Q03265|ATPA_MOUSE"	273465329.439985	266194134.214628	270712644.578619	285470810.797874	282718385.904506	273892904.831499	219684842.740214	272857447.705124	248483888.660508	257660761.855284	263543295.703736	254380961.672001	290098515.625152	285437810.518618	277287032.648537	309071256.928446	296524011.824272	306999193.219389	293778417.640517	257736297.372736	288598989.485114	306098699.303322	315937202.883666	309785087.217526
"sp|P63038|CH60_MOUSE"	249745314.624396	255248091.995518	239597671.862767	257662099.377115	257288053.933456	247477040.650953	211963126.434248	242108659.660121	229897870.991273	219035102.854071	226488020.896131	223633038.738188	296873641.599518	266425753.407688	272876989.872705	255333345.879565	268083627.279708	258203363.254328	270189628.773244	248423349.569412	276625718.944896	261264521.609333	265452260.307862	265729358.894145
"sp|P50247|SAHH_MOUSE"	241434482.315394	212189248.119891	246891944.26094	260206168.120335	284772456.510136	283085734.584634	194431997.744209	328391612.669403	186604260.593348	200423099.714962	180009909.471928	172218317.221839	316547501.628491	274466061.969846	300168309.6804	226652131.126156	192891840.197273	220461729.482895	327879866.774144	342346137.864723	330484747.037486	246982156.984097	230090821.097101	247585292.617485
"sp|Q8R0Y6|AL1L1_MOUSE"	192315393.339696	154156827.356136	192798438.500436	240328800.502464	269612793.21307	283227140.100167	193357692.245275	306227868.475097	212321570.5445	193611026.692181	189794680.390262	178611433.034204	302543672.888551	230290895.977992	285481098.919502	276351867.861328	239609825.562861	285717231.470343	257207801.300257	303508918.575775	242342195.481093	242102057.040123	233054396.121096	234866290.784827
"sp|P09103|PDIA1_MOUSE"	207275087.494586	191744181.952192	212609685.931665	193061325.227959	204123951.711174	208743428.709093	237565140.033018	267044497.60216	221455187.333072	232825129.887817	224332591.094085	227804385.585834	262798987.173442	252055254.338068	250831950.536323	183997162.851516	188177956.626766	179424630.629862	244721578.810451	284504863.809981	258537373.803699	220599837.388793	194048156.41976	213888997.782636
"sp|O35490|BHMT1_MOUSE"	144752101.984772	122508944.274911	122535067.912824	170521901.874845	326547273.208957	300417271.128561	198086099.016048	253341499.361397	225090624.57289	146249310.440631	181341879.51966	126007623.427386	353787761.256138	225187777.968987	287355224.611063	189577862.464958	189218735.027619	211039315.243654	327530400.090208	232160986.68349	248173945.85877	184029949.684378	165251774.284997	206826071.369315
"sp|Q8BWT1|THIM_MOUSE"	254174882.956804	244479987.782609	236120621.231552	296975543.807887	271146154.82742	264176388.679881	123541620.528608	226224236.238735	141681655.937699	141246114.621931	136980160.272709	144378120.811276	258298574.214076	251303278.053379	243824628.212196	166895399.225248	165537289.633886	165808333.296305	283733388.1671	239157162.239176	287461842.185346	178058660.797974	185602041.655511	181921008.210192
"sp|P24270|CATA_MOUSE"	233463113.433141	183652828.00458	173073907.400058	241471021.163712	251813136.396585	241949097.204936	154449423.786955	269739262.447103	162622369.75438	144270863.541529	135892997.02499	159311267.252806	242428451.897416	242539833.461666	249452696.447306	187411496.190741	167044606.006599	185934520.97393	264195370.282005	260699724.994204	295136689.017866	220412610.001881	194609448.000442	193659869.621251
"sp|P02301|H3C_MOUSE_family"	166737111.244608	184751123.474258	194637778.511808	212714474.210622	212961430.469588	199009286.893447	193047822.818147	188025593.822964	177035397.349188	154285338.485001	170163389.242592	185768950.991437	201567682.968896	198661037.661336	215014944.0325	235050866.122714	239097938.101553	233188795.47918	202534097.794548	183853352.374357	172866361.05806	182768953.411832	178450855.767806	183109557.557551
"sp|Q61176|ARGI1_MOUSE"	149625677.199605	128964305.669033	157541913.687581	175903724.305085	160176927.554603	163076802.364325	149046946.960684	247560556.086177	158318042.777622	144582553.216159	145734638.122607	156748638.013815	210862789.455858	172949168.998622	210649273.902188	201328903.907183	186354562.127248	192526082.63209	238333545.837699	241545263.30481	209457985.152445	173078911.298508	174655488.143281	189015185.032857
"sp|P10854|H2B1M_MOUSE_family"	158265570.836427	159362420.101629	184549354.481954	195033982.302687	204099582.999585	209636214.359522	180206303.796093	190942104.590327	158220947.076669	143448016.508598	142420288.833641	171151894.823003	191905095.032822	184830406.698495	185962494.526075	218599174.146677	208761777.792586	213506374.867064	173119190.763179	194321661.236554	157509068.898404	172054266.258208	165762030.677476	160683599.619258
"sp|P24549|AL1A1_MOUSE"	200733901.934774	200822727.680064	181715818.521518	248843273.258957	276321121.378247	274557957.038659	58141221.8565946	144110560.16263	84407259.452578	158507870.394637	135195890.966384	86272312.7602635	178896380.507734	159195454.531665	175460063.467296	134464571.856552	130920213.210101	140993708.417499	259343007.626983	151239594.427388	252907361.034766	130644629.878963	150286425.494764	123256464.547714
"sp|P35700|PRDX1_MOUSE"	170332225.99522	153555903.394131	149606313.998987	153514568.102312	147940979.661757	144813032.454268	169562611.329829	182697907.33119	193117609.10603	156989693.275836	153054105.464583	186782565.778017	188745029.016272	180748337.001686	179290395.35546	168271366.204701	172073614.219467	162062840.095322	151337529.665951	186730342.12855	160957251.754031	189997181.899628	188021976.740866	180737808.312036
"sp|P54869|HMCS2_MOUSE"	143686644.469901	159731813.964715	139912699.68458	157114696.022953	176916754.425711	165023380.78325	153085370.805233	202444964.874153	142327085.570162	117549647.706631	107220366.713975	128067639.757503	187441118.3384	165438084.35335	187355729.710966	164006096.964544	144789531.071263	157257297.696298	191512744.910589	204074082.185791	205683294.28306	167391797.885539	143907506.406488	152513366.299576
"sp|P10126|EF1A1_MOUSE"	157205452.121102	149486671.556163	172006133.755181	153817519.449896	145530645.146856	157642288.103617	184543644.605825	164074063.600015	174183331.781276	178763085.801142	178684657.029567	187739448.711061	131018045.990087	148195057.853811	122311790.795483	144112586.260746	148952470.688337	141983256.948973	127466414.952063	154262923.325953	127529320.938153	173340924.996734	168897584.378675	172011162.085716
"sp|P26443|DHE3_MOUSE"	134605163.432423	135558960.348442	122350066.822196	128500952.557003	116476944.25092	116901295.053468	183996452.617023	178828834.963244	191564298.556501	144145105.737921	149079864.8097	177946390.739727	165828696.496996	167368586.237748	157090170.979216	166381964.887816	174063088.015376	159526712.617577	164315617.050877	173452829.705675	164077804.323555	153553819.445307	160730863.099046	165865602.538628
"sp|Q8QZT1|THIL_MOUSE"	119525461.407472	140371360.974365	102803569.919888	148548167.942701	165504899.158649	135566619.344992	178833813.151941	125444264.277588	198374005.775075	103579304.278316	108382875.384167	152989739.807513	148834480.058291	155762429.33307	150128877.8236	143854039.597435	178880269.338077	141765345.427983	168921023.734098	130040141.092268	153723908.154296	148733996.710287	166881679.524401	157123826.445576
"sp|P56480|ATPB_MOUSE"	136720225.395766	129568705.329445	137602427.973072	154250853.877815	140961056.383539	135133184.538488	111041204.122725	141581491.933829	121433406.003968	129643889.320792	131895304.174869	131114668.158149	151259141.453617	152002988.071427	149079672.345318	158144152.62001	156037697.591076	157555855.496085	149532107.769641	138957918.628755	150405720.409196	152707847.636593	159092059.426773	158419336.701148
"sp|P11725|OTC_MOUSE"	119360324.643208	121526003.684906	118814877.419961	145204552.56082	154907813.235146	130869131.191035	86086509.6768126	140319425.019024	101235609.712308	94026391.699112	95292350.5668653	96296583.6257297	198398573.930651	181732150.471778	186396793.232056	146925663.455692	141822541.092814	149520659.755697	187301119.125963	144327850.517641	183751095.277395	122867407.497036	130357923.550733	124212522.922172
"sp|P32020|SCP2_MOUSE"	210165083.197835	155260427.937523	130823974.50162	128234195.588046	144128600.730996	134992188.630513	97003724.5119534	112713392.487809	113096882.957658	163773633.040962	154410411.747346	129252685.632531	100633050.300918	123126749.456242	114956849.6316	113472765.854436	108257184.549605	118598968.149874	118566249.214309	125377608.922982	154255201.790939	173739262.106489	154578535.750426	169628820.228885
"sp|P08228|SODC_MOUSE"	157869495.078413	149671166.67296	147743211.343779	181172521.773533	178903179.782802	178942811.129606	88923639.0739194	106832112.189858	95511458.2612642	130536299.348768	117479691.472769	93628445.2475177	127698973.597855	115625244.683529	128409469.70331	122228233.592547	125212691.706184	128525861.440893	112701803.971088	108158114.619706	127349181.14834	102758625.595318	118141266.45679	115701483.062356
