Accession	CC017_M_1	CC017_F_1	CC004_M_1	CC004_F_1	CC001_M_1	CC001_F_1	CC003_M_1	CC003_F_1	Pool_1	CC017_M_2	CC017_F_2	CC004_M_2	CC004_F_2	CC001_M_2	CC001_F_2	CC003_M_2	CC003_F_2	Pool_2	CC017_M_3	CC017_F_3	CC004_M_3	CC004_F_3	CC001_M_3	CC001_F_3	CC003_M_3	CC003_F_3	Pool_3
sp|Q8C196|CPSM_MOUSE	2410910559	2938579001	2611322121	2918735009	2763955012	2352292345	1874294084	2392929873	2558887795	2415453700	3188793358	2445278712	2654735941	2584762240	2212253276	1873968916	3173562226	2558887795	2479473104	2685426858	2622874848	2836993908	2463273525	2517000448	2344952705	2494939553	2558887795
sp|P16460|ASSY_MOUSE	812882700	939857502	874894740	796951280	823671939	639884498	668835252	762733513	796995286	919930402	1015344379	821198914	744915414	724483598	571172009	642411063	972221055	796995286	997176356	876422746	824558474	772050757	730084560	669286103	699239748	858613502	796995286
sp|P00329|ADH1_MOUSE	756697249	475803710	773118197	616445606	716985275	586315544	457381007	505678032	623057985	667943288	651804237	757517810	596715290	633992771	568540581	497900359	585598205	623057985	686329817	511857893	795174239	639653224	647190618	603847892	534950400	552573624	623057985
sp|Q91Y97|ALDOB_MOUSE	422322377	355177189	404238082	333769187	450429726	393941188	369752074	425803880	396507023	420670718	413882324	387318356	316471794	461364975	366209301	379790893	405443762	396507023	414714368	345354996	411870784	342497020	463338762	430069951	379050945	384190486	396507023
sp|P12710|FABPL_MOUSE	387613455	261699527	300664872	339519766	406173452	484845359	569374958	320473607	378999183	391883478	191392905	383085585	328919894	372938403	475834399	629897205	229307974	378999183	394218522	325111605	306004711	311322746	367928327	390198685	524406819	434812141	378999183
sp|Q03265|ATPA_MOUSE	308311726	274684208	305693409	271234885	269993219	277931933	276680778	247656533	278988916	317626065	237538304	301660183	280793498	265121959	284904518	288274769	257462809	278988916	308948338	267956480	301897104	265147337	262119232	282917922	278155350	268003403	278988916
sp|P63038|CH60_MOUSE	263153407	252628579	252542801	277569459	243692234	253824491	235203848	238951638	252081740	266871252	228955183	272727175	262090783	241274414	273189095	247742147	228448870	252081740	265011607	256839617	253912223	260930367	236838891	250400108	244533733	247957371	252081740
sp|P50247|SAHH_MOUSE	248767784	306569224	224175044	295964028	246098369	245377915	215217943	219188333	249908726	231320786	315517534	196232971	270000269	267048184	227103710	196902429	309863732	249908726	246916549	306846291	216797826	287026866	270916895	258023248	188313803	201262855	249908726
sp|Q8R0Y6|AL1L1_MOUSE	243852402	240490509	273331611	282870797	227298708	195456547	207903016	217977240	238902216	234300203	279723867	243760171	226543870	252832060	164992278	207605424	288950468	238902216	234231902	225008278	280968832	272982665	271052222	201490897	195304418	229000374	238902216
sp|P09103|PDIA1_MOUSE	222194726	228815832	181986253	245710506	182593970	210660583	250011828	267813465	221960478	195085453	262209101	191437437	247954104	191419252	205221591	245384447	251977826	221960478	213311270	240045070	176442732	239850465	199770298	222195349	249094933	238851477	221960478
