"accessions"	"AJ_F1_1_tmm"	"AJ_F2_2_tmm"	"AJ_M1_3_tmm"	"AJ_M2_4_tmm"	"AJ_F1_4_tmm"	"NOD_M1_1_tmm"	"NOD_M2_2_tmm"	"NOD_F1_3_tmm"	"NOD_F2_4_tmm"	"NOD_M1_4_tmm"	"C_F1_1_tmm"	"C_F2_2_tmm"	"C_M1_3_tmm"	"C_F2_3_tmm"	"C_M2_4_tmm"	"P_M1_1_tmm"	"P_M2_2_tmm"	"P_F1_3_tmm"	"P_M2_3_tmm"	"P_F2_4_tmm"	"NZO_F1_1_tmm"	"NZO_F2_2_tmm"	"NZO_M1_2_tmm"	"NZO_M1_3_tmm"	"NZO_M2_4_tmm"	"WSB_M1_1_tmm"	"WSB_M2_2_tmm"	"WSB_F1_2_tmm"	"WSB_F1_3_tmm"	"WSB_F2_4_tmm"	"B_F1_1_tmm"	"B_M2_1_tmm"	"B_F2_2_tmm"	"B_M1_3_tmm"	"B_M2_4_tmm"	"129_M1_1_tmm"	"129_F2_1_tmm"	"129_M2_2_tmm"	"129_F1_3_tmm"	"129_F2_4_tmm"
"sp|Q8C196|CPSM_MOUSE"	845538150.560275	849923649.801291	814327718.936539	846696201.842724	829488919.014664	801185115.256721	1650206038.76693	1221111650.4369	2301221861.78049	805352552.751689	1323906590.66616	1340937099.01344	830624784.837118	1313524787.06584	922603510.149966	1193498204.88193	979402326.13741	1202270335.09987	915731981.864977	1099948020.72169	879376656.214673	894112801.049436	774610962.443466	755064677.543438	804401894.066283	1098994205.21313	885484428.858503	1083075937.82663	1071877073.48202	1070689503.073	607798280.896412	619191868.951725	567059989.095883	782855909.868439	632503851.611306	1019773180.62607	1015233127.72135	883900893.981951	778702172.812645	1011751819.06551
"sp|P16460|ASSY_MOUSE"	224037734.229054	200335419.246277	252450845.141677	234629423.534584	229087642.199911	256503337.266571	521821593.907473	394118765.025658	525887516.173056	274869816.516568	369210064.438042	320487923.547576	281996576.955356	356546392.550026	308887962.346211	228346025.152952	186035721.025968	255075629.068836	189565768.163377	240567273.959261	333371936.446131	348861755.048307	329138423.668076	343354719.03651	325283918.989318	329649270.763363	247605088.203191	321131924.685479	325114677.929574	347809862.611196	277953390.168636	271604854.880415	259060064.355336	320442988.701071	279716284.654124	354954324.607708	372799968.294913	308020040.404651	316100682.005803	378525508.0396
"sp|P12710|FABPL_MOUSE"	341351384.627129	379197170.216593	390712916.432207	296370127.495409	334779074.719247	346433784.717674	55084910.7862297	154311564.090967	19668752.577322	376212372.48716	199608830.846814	241615768.230228	293489345.185907	267565483.337274	257218507.112981	316799645.224581	346310323.464343	252744755.214586	377972192.230606	302743393.284336	285120966.41126	314018306.441571	354613770.76798	374404120.729692	311121000.361579	183523686.667519	197914151.500062	222489964.747159	239529695.598063	262685736.422245	352614813.516987	359722819.364126	449146085.591331	326529846.720472	360754789.985351	312366641.186	285199264.172264	364977119.081961	266708632.266088	305144215.890473
"sp|P00329|ADH1_MOUSE"	228581391.304515	221225321.913058	180562368.930556	179859018.074899	242044144.862216	183639771.498094	189143783.039248	197757055.656134	143935913.763818	200617052.733125	204467921.616483	247803109.224188	194568109.607425	259500712.225591	206787338.277703	174209303.124137	159774597.416046	205797403.659353	158316066.925793	250239610.527583	232133886.202848	254665142.173099	219535969.367912	213974750.051911	197920978.846462	158426030.121666	172941102.763179	316255948.868594	311950762.776007	293141938.179264	438171544.49865	335053759.483916	373074218.573848	423680134.78436	336253550.093599	189181818.854528	245435583.915583	196386605.053263	216518176.637946	263262371.109743
"sp|P10854|H2B1M_MOUSE_family"	219328413.897408	242522815.251671	207887963.25007	198823957.53696	228846157.077786	164283003.562581	197044417.522022	187070441.828237	375342853.911805	172140013.313125	177509854.919662	211611546.19001	152153560.732826	200125546.212327	158072656.216214	227981878.98194	178314266.609406	221776250.863267	175509788.300027	240182791.262281	227911400.198883	223501193.510278	182293620.253485	165962726.995987	178799728.336233	179756443.264732	213292461.689468	223937308.269531	220054554.413522	186536867.459162	243988072.579546	166695354.696472	190305397.943993	246415553.780066	172825770.618896	205960604.170494	243146821.114973	200482275.7772	266751728.629318	242039757.997674
"sp|Q91Y97|ALDOB_MOUSE"	178112088.928402	153284638.221472	179798016.884784	171027733.379311	176759828.892917	143167356.173859	190301848.382984	164722148.87399	178145343.698912	145218538.082502	172001566.251001	166648827.911495	156429843.198227	177762333.300019	154079025.162035	181310197.953018	178555257.951132	186787884.25748	188788525.273322	182366720.608328	181317558.51672	170518340.738097	236730113.108394	229594232.239365	216392329.756363	119726242.410223	124617981.873375	145390722.539195	146518940.893283	136593036.865399	211287609.488162	229617161.305985	253148805.059279	184405873.412288	226507027.601559	166200067.154932	192623989.115258	170428610.147981	148570875.016332	189970407.345093
"sp|O35490|BHMT1_MOUSE"	123742227.591684	94135981.3598715	95506188.874102	98860285.376432	104694471.723991	129133270.392304	217959170.333857	219567032.641185	170256502.202623	114415143.883862	148506120.790195	137282804.857329	135787619.060459	155273452.030897	134740078.785593	71843948.7202248	72920842.6264906	95823346.4850843	77517675.3184093	77299580.8927349	175141702.931035	134793371.715725	186675636.877344	190948657.249032	193239706.154706	111124520.580119	80904794.2075621	162188958.064488	167868244.493796	166637931.456662	143807244.715348	138769516.521722	138476807.098506	100696117.424068	126118643.982245	114441878.702601	129973848.674751	106959740.75288	79204895.1346898	121906537.290553
"sp|P32020|SCP2_MOUSE"	97364369.4523346	80712062.1231148	147742227.479311	130460674.830048	85314160.8155034	164678435.543142	103472982.997907	117695378.581737	68734696.5850549	196399541.504618	87358945.9539092	84578687.4390373	123054656.10911	90264338.5829506	110485417.660461	190709640.220219	219483731.663081	107134894.198013	234036413.064799	88382285.4150663	107598775.483635	99394886.0638407	207716392.594927	219549791.379387	258554145.363359	149781711.567369	109029340.250179	90385867.2637591	103229249.225846	87451536.0788294	107361360.854462	146581800.108111	153731416.72037	92251053.1454729	184787724.81201	165509964.383131	94488391.7487512	159609651.35521	90290176.5984137	88233535.0483868
"sp|Q8R0Y6|AL1L1_MOUSE"	104896423.686402	94351627.4631371	125738387.772307	108048731.030164	105682712.129433	111312063.293625	115350518.003805	117906839.245235	77462639.6033177	111332316.343709	74339218.1203038	77154802.3027526	76638076.8527221	74243853.9122343	84019033.5039279	154428138.484981	115834893.350589	150703600.233742	117059525.444792	137823850.388186	157887506.665341	166501835.994621	153670880.528887	156461636.55459	147750522.555712	103233671.309861	91638557.8359623	149369497.027559	153127679.080569	164180465.466223	135158883.202606	125503652.664447	138804854.260214	138837332.505817	132929737.261343	111480297.450077	139121310.049646	120233672.706079	100940239.846191	145739002.380896
"sp|Q64374|RGN_MOUSE"	137501743.795005	147414152.275228	129792147.652812	105739644.247595	143108437.775803	101317151.171985	31851747.2824745	91715746.2435839	10446634.3801667	107994242.807911	93227871.2459339	96029819.5122562	67223428.742117	105457669.402666	72807834.1775763	115627191.037249	99004382.6985726	122522273.527156	112156752.337556	148675197.634218	151777604.944839	166708964.909864	121417768.882434	132151614.845467	142533984.978315	50246924.8105054	76707113.8197132	98404617.2059592	110624056.886271	96913116.1353079	135643533.892655	123568514.31569	148935510.510817	154921529.268464	135921325.610775	107179019.706738	120007560.774232	138656741.108145	110470467.692806	125393382.630465
