Accession	AJ_F1_1	NOD_M1_1	C_F1_1	P_M1_1	NZO_F1_1	WSB_M1_1	B_F1_1	129_M1_1	B_M2_1	129_F2_1	Pool_1	AJ_F2_2	NOD_M2_2	C_F2_2	P_M2_2	NZO_F2_2	WSB_M2_2	B_F2_2	129_M2_2	NZO_M1_2	WSB_F1_2	Pool_2	AJ_M1_3	NOD_F1_3	C_M1_3	P_F1_3	NZO_M1_3	WSB_F1_3	B_M1_3	129_F1_3	C_F2_3	P_M2_3	Pool_3	AJ_M2_4	NOD_F2_4	C_M2_4	P_F2_4	NZO_M2_4	WSB_F2_4	B_M2_4	129_F2_4	AJ_F1_4	NOD_M1_4	Pool_4
sp|Q8C196|CPSM_MOUSE	863140391	812290214	1334682436	1180243333	894271648	1130812684	607121458	995227243	618085291	998000853	967989369	884437112	1492420269	1334179904	1010251187	910732451	977187903	546503283	859714091	767306698	1077395799	967989369	797147303	1165919474	874367914	1190190318	739758536	1046617273	780147937	827463464	1309507370	957621121	967989369	863179286	2033787177	959111385	1112702565	789660994	1062744293	626579581	980668351	859509948	822630450	967989369
sp|P16460|ASSY_MOUSE	228701706	260058689	372215224	225810037	339018632	339193396	277643871	346410575	271119461	366472169	299706583	208470584	471927205	318872934	191895407	355346351	273247828	249668780	299591471	326034783	319447764	299706583	247124721	376305265	296847341	252512713	336394473	317453042	319334546	335894485	355455895	198237243	299706583	239197079	464771913	321110811	243356793	319322996	345228888	277096356	366896287	237378828	280766827	299706583
sp|P12710|FABPL_MOUSE	348457568	351235648	201233533	313281300	289950381	188837131	352222154	304847977	359079947	280358374	297435007	394595503	49817923	240398228	357218281	319855237	218410746	432863921	354989993	351269908	221323127	297435007	382469785	147336943	308945352	250205259	366814463	233884951	325400349	283409571	266747134	395262109	297435007	302139722	17382964	267396770	306253881	305419617	260736438	357375824	295769446	346895466	384283569	297435007
sp|P00329|ADH1_MOUSE	233339952	186185173	206132174	172274552	236065799	163012838	437683612	184628213	334454974	241269631	232086106	230208778	171058649	246554390	164807120	259398824	190851412	359549764	191012740	217465835	314597360	232086106	176752924	188818772	204814635	203729619	209637204	304599347	422214585	230076256	258707029	165558059	232086106	183360429	127208515	214970015	253141286	194294019	290966635	333104072	255174313	250804255	204921057	232086106
sp|P10854|H2B1M_MOUSE_family	223894348	166560104	178954684	225449935	231771792	184960817	243716376	201003133	166397448	239019717	206806655	252371114	178203858	210545202	183930745	227655604	235381681	183406565	194996338	180574666	222762880	206806655	203502012	178615175	160166412	219547916	162598447	214868760	245563179	283455366	199513462	183538288	206806655	202694569	331722680	164327669	242967852	175523171	185152643	171207019	234603710	237128603	175833076	206806655
sp|Q91Y97|ALDOB_MOUSE	181819990	145151776	173401561	179296585	184388738	123192600	211052327	162199632	229206805	189354445	176211859	159509178	172105985	165809058	184179327	173687913	137523801	243971812	165765052	234497845	144628228	176211859	176004698	157276987	164667896	184911101	224940059	143066083	183767996	157874185	177218647	197424446	176211859	174357221	157442323	160176008	184481370	212426877	135579428	224385477	184134056	183157156	148334032	176211859
sp|O35490|BHMT1_MOUSE	126318268	130923166	149714876	71046057	178108275	114341838	143647106	111687263	138521517	127767710	127749449	97958629	197118830	136591015	75217677	137298893	89283542	133456832	104032926	184915362	161338366	127749449	93491231	209642975	142938592	94860545	187077880	163912270	100347800	84164600	154798548	81063635	127749449	100784851	150470277	140071810	78195915	189698532	165401370	124937369	118161273	108483595	116869787	127749449
sp|P32020|SCP2_MOUSE	99391281	166961017	88069998	188591638	109421297	154118246	107241807	161526140	146319839	92884573	132645171	83989595	93579331	84152482	226396951	101242425	120320752	148158441	155242140	205757712	89911843	132645171	144625211	112375747	129535074	106058438	215099232	100796554	91931948	95944027	89988265	244742148	132645171	133000422	60746748	114857380	89407130	253816065	86802589	183056933	85522787	88401868	200613064	132645171
sp|Q8R0Y6|AL1L1_MOUSE	107080136	112854942	74944297	152713075	160561825	106222530	135008375	108796967	125279361	136759905	121701720	98183032	104321186	76766007	119483419	169596750	101128927	133772987	116943634	152221827	148586136	121701720	123085601	112577650	80674062	149189380	153289956	149519080	138357081	107260983	74016779	122414283	121701720	110152173	68460380	87343708	139421999	145042951	162962140	131684667	141261547	109507602	113720821	121701720
sp|Q64374|RGN_MOUSE	140364227	102721492	93986693	114343047	154348433	51701692	135492486	104599221	123347681	117970587	114202119	153400305	28806217	95545910	102122787	169807729	84651137	143536393	134862579	120272849	97888539	114202119	127053836	87570350	70763611	121291210	129472730	108017096	154385641	117387981	105135127	117287238	114202119	107798134	9232587	75688876	150399174	139922008	96193958	134648235	121540994	148287847	110311133	114202119
