Program "PAW_protein_grouper.py" run on Tue Oct 28 09:49:56 2025


	=SUBTOTAL(109,B6:B6331)																					
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_CC-S3	Total_CC-S4	Total_CC-S5	Unique_CC-S3	Unique_CC-S4	Unique_CC-S5	Corrected_CC-S3	Corrected_CC-S4	Corrected_CC-S5
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	31	16	0.516	9	14	8	5	7	4	5.541	7.942	4.485
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	25.1	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	121	106	0.876	36	52	33	32	45	29	35.459	51.058	32.515
3	1	CONT_014|gi|114054|sp|P15636|API_ACHLY	 	 	 	contaminant	13.0	653	68124	PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].	286	286	1.000	80	113	93	80	113	93	80.000	113.000	93.000
6	1	CONT_044|gi|1083132|pir||A56694	 	 	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_172|gi|1903216|gnl|PID|e255375, sp|P11679|K2C8_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|P97861|KRT86_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IMF0|KRT87_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q99M73|KRT84_MOUSE, sp|Q9DCV7|K2C7_MOUSE, sp|Q9ERE2|KRT81_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Y9|E9Q1Y9_MOUSE	contaminant	11.7	480	53033	keratin, type II, KRT2.13 [Ovis aries].	34	4	0.118	9	11	14	1	1	2	1.356	1.445	2.612
8	1	CONT_050|gi|280816|pir||A37343 (+1)	CONT_050|gi|280816|pir||A37343&CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	 	CONT_050|gi|280816|pir||A37343, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q9D312|K1C20_MOUSE	contaminant	10.0	420	45865	keratin 13, type I, cytoskeletal, short form [Homo sapiens].	13	0	0.000	5	3	5	0	0	0	0.000	0.000	0.000
11	1	CONT_068|gi|1082558|pir||S41161	 	 	CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE	contaminant	27.0	623	62129	keratin 9, cytoskeletal [Homo sapiens].	61	51	0.836	17	17	27	13	14	24	13.354	14.266	24.266
14	1	CONT_082|gi|125080|sp|P02533|K1CN_HUMAN	 	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_146|gi|2119208|pir||I37459, CONT_152|gi|2135530|pir||S60034, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|B1AQ75|KRT36_MOUSE, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61765|K1H1_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q61897|KT33B_MOUSE, sp|Q9D312|K1C20_MOUSE	contaminant	24.2	472	51662	KERATIN, TYPE I CYTOSKELETAL 14 (CYTOKERATIN 14) (K14) (CK 14) [Homo sapiens].	49	3	0.061	15	15	19	0	1	2	2.329	3.364	5.299
16	1	CONT_089|gi|71536|pir||KRHU2	 	 	CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE	contaminant	29.2	493	52788	keratin, 67K type II cytoskeletal (fragment) [Homo sapiens].	86	0	0.000	25	29	32	0	0	0	0.000	0.000	0.000
18	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN	 	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_146|gi|2119208|pir||I37459, CONT_152|gi|2135530|pir||S60034, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|B1AQ75|KRT36_MOUSE, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61765|K1H1_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q61897|KT33B_MOUSE, sp|Q99PS0|K1C23_MOUSE, sp|Q9D312|K1C20_MOUSE	contaminant	25.5	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	39	4	0.103	13	13	13	1	3	0	3.382	5.368	3.347
