PAW protein_summary_9 results file
written: Sat Nov  8 16:01:30 2025

 	=subtotal(109,B6:B8622)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
ProtGroup	Counter	Accession	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_TMT01	Total_TMT02	Total_TMT03	Total_TMT04	Total_TMT05	Total_TMT06	Total_TMT07	Total_TMT08	Total_TMT09	Total_TMT10	Total_TMT11	Total_TMT12	Unique_TMT01	Unique_TMT02	Unique_TMT03	Unique_TMT04	Unique_TMT05	Unique_TMT06	Unique_TMT07	Unique_TMT08	Unique_TMT09	Unique_TMT10	Unique_TMT11	Unique_TMT12	Corrected_TMT01	Corrected_TMT02	Corrected_TMT03	Corrected_TMT04	Corrected_TMT05	Corrected_TMT06	Corrected_TMT07	Corrected_TMT08	Corrected_TMT09	Corrected_TMT10	Corrected_TMT11	Corrected_TMT12	OtherLoci
1.0	1	CONT_005|Trypa5|PromTArt5	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	19	15	0.789	2	1	2	2	3	2	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2.000	1.000	1.500	2.000	2.500	1.333	1.333	1.000	1.000	1.000	1.000	1.000	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG
2.0	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	38.1	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	24	19	0.792	0	1	2	1	4	3	3	1	1	2	2	4	0	1	1	1	2	2	2	1	1	2	2	4	0.000	1.000	1.500	1.000	3.167	2.667	2.667	1.000	1.000	2.000	2.000	4.000	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG, tr|Q792Z1|Q792Z1_MOUSE
3.0	1	CONT_014|gi|114054|sp|P15636|API_ACHLY	contaminant	17.5	653	68124	PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].	465	465	1.000	26	47	29	25	33	47	44	44	34	46	51	39	26	47	29	25	33	47	44	44	34	46	51	39	26.000	47.000	29.000	25.000	33.000	47.000	44.000	44.000	34.000	46.000	51.000	39.000	 
4.0	1	CONT_019|CAS1_BOVIN	contaminant	12.6	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	2	2	1.000	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	 
5.0	1	CONT_046|gi|88041|pir||A31994	contaminant	40.1	561	57247	keratin 10, type I, epidermal [Homo sapiens].	181	1	0.006	11	11	16	16	12	16	18	15	13	12	21	20	0	0	0	0	0	0	0	0	0	0	1	0	0.000	3.417	4.833	0.000	0.000	4.917	3.500	4.194	4.083	3.833	18.020	5.833	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_138|gi|71531|pir||KRSHL1, CONT_156|gi|1363944|pir||JC4313, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|A1L317|K1C24_MOUSE, sp|B1AQ75|KRT36_MOUSE, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q62168|K1H2_MOUSE, sp|Q9QWL7|K1C17_MOUSE
6.0	1	CONT_047|gi|88042|pir||S14666	contaminant	48.8	453	48204	keratin 10, type I, cytoskeletal (clone IIB5) (fragment) [Homo sapiens].	132	1	0.008	10	8	11	12	8	12	15	11	8	7	16	14	0	0	0	1	0	0	0	0	0	0	0	0	0.000	1.917	2.333	4.524	0.000	2.917	2.000	2.194	1.583	1.333	1.500	2.833	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_138|gi|71531|pir||KRSHL1, CONT_156|gi|1363944|pir||JC4313, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|A1L317|K1C24_MOUSE, sp|B1AQ75|KRT36_MOUSE, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q62168|K1H2_MOUSE, sp|Q9QWL7|K1C17_MOUSE
7.0	1	CONT_049|gi|88052|pir||A32568	contaminant	18.8	589	62033	keratin K5, 58K type II, epidermal (version 2) (fragment) [Homo sapiens].	66	3	0.045	6	3	6	5	3	9	11	4	4	3	5	7	1	0	1	0	0	0	1	0	0	0	0	0	1.082	0.000	2.041	0.000	0.000	0.333	4.551	0.000	0.667	0.000	0.333	1.000	CONT_049|gi|88052|pir||A32568, CONT_071|gi|181400, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_103|gi|2119212|pir||I37982, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_172|gi|1903216|gnl|PID|e255375, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6IME9|K2C72_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q8VED5|K2C79_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE
8.0	1	CONT_050|gi|280816|pir||A37343	contaminant	13.3	420	45865	keratin 13, type I, cytoskeletal, short form [Homo sapiens].	35	0	0.000	3	1	3	3	4	4	3	4	3	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.167	0.500	0.500	0.667	0.667	0.167	0.667	0.667	0.000	0.167	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_138|gi|71531|pir||KRSHL1, CONT_156|gi|1363944|pir||JC4313, CONT_157|gi|1245902|bbs|175065, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|P02535|K1C10_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE
8.0001	1	CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	redundant	12.2	458	49644	KERATIN, TYPE I CYTOSKELETAL 13 (CYTOKERATIN 13) (K13) (CK 13) [Homo sapiens].	35	0	0.000	3	1	3	3	4	4	3	4	3	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.167	0.500	0.500	0.667	0.667	0.167	0.667	0.667	0.000	0.167	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_138|gi|71531|pir||KRSHL1, CONT_156|gi|1363944|pir||JC4313, CONT_157|gi|1245902|bbs|175065, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|P02535|K1C10_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE
