Program "PAW_protein_grouper.py" run on Tue Oct 28 14:22:31 2025


	=SUBTOTAL(109,B6:B7422)																								
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_founder-SF1	Total_founder-SF2	Total_founder-SF3	Total_founder-SF4	Unique_founder-SF1	Unique_founder-SF2	Unique_founder-SF3	Unique_founder-SF4	Corrected_founder-SF1	Corrected_founder-SF2	Corrected_founder-SF3	Corrected_founder-SF4
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	13	6	0.462	5	2	0	6	3	0	0	3	3.353	0.000	0.000	3.529
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	28.6	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	64	57	0.891	16	17	14	17	14	15	14	14	15.647	17.000	14.000	16.471
3	1	CONT_014|gi|114054|sp|P15636|API_ACHLY	 	 	 	contaminant	12.9	653	68124	PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].	255	255	1.000	70	73	58	54	70	73	58	54	70.000	73.000	58.000	54.000
4	1	CONT_020|CAS2_BOVIN	 	 	 	contaminant	12.2	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	4	4	1.000	1	0	2	1	1	0	2	1	1.000	0.000	2.000	1.000
5	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	6.2	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	6	6	1.000	0	2	2	2	0	2	2	2	0.000	2.000	2.000	2.000
10	1	CONT_068|gi|1082558|pir||S41161 (+1)	CONT_068|gi|1082558|pir||S41161&CONT_105|gi|547748|sp|P35527|K1CI_HUMAN	 	CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q9QWL7|K1C17_MOUSE	contaminant	31.3	623	62129	keratin 9, cytoskeletal [Homo sapiens].	76	54	0.711	22	20	17	17	14	13	14	13	14.507	13.444	14.190	13.254
15	1	CONT_082|gi|125080|sp|P02533|K1CN_HUMAN	 	 	CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, sp|B1AQ75|KRT36_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61765|K1H1_MOUSE, sp|Q9QWL7|K1C17_MOUSE	contaminant	14.4	472	51662	KERATIN, TYPE I CYTOSKELETAL 14 (CYTOKERATIN 14) (K14) (CK 14) [Homo sapiens].	47	2	0.043	12	10	13	12	1	0	1	0	1.734	0.096	1.347	0.941
16	1	CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN	 	 	CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q8VED5|K2C79_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9R0H5|K2C71_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE	contaminant	34.9	644	66017	KERATIN, TYPE II CYTOSKELETAL 1 (CYTOKERATIN 1) (K1) (CK 1) (67 KD CYTOKERATIN) (HAIR ALPHA PROTEIN) [Homo sapiens].	114	20	0.175	27	38	22	27	4	6	4	6	17.612	22.640	13.844	15.750
17	1	CONT_089|gi|71536|pir||KRHU2	 	 	CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q8VED5|K2C79_MOUSE, sp|Q922U2|K2C5_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE	contaminant	30.4	493	52788	keratin, 67K type II cytoskeletal (fragment) [Homo sapiens].	79	0	0.000	19	26	16	18	0	0	0	0	0.000	0.000	0.000	0.000
