PXD002801: mouse livers; CC experiment																																																											
"Program ""PAW_protein_grouper.py"" run on Tue Oct 28 09:49:56 2025"																																																											
																																																											
 	6326																								CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool		CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool		CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Ranker	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_CC-S3	Total_CC-S4	Total_CC-S5	Unique_CC-S3	Unique_CC-S4	Unique_CC-S5	Corrected_CC-S3	Corrected_CC-S4	Corrected_CC-S5	PSMs_Used_CC-S3	TotInt_126C_CC-S3	TotInt_127N_CC-S3	TotInt_127C_CC-S3	TotInt_128N_CC-S3	TotInt_128C_CC-S3	TotInt_129N_CC-S3	TotInt_129C_CC-S3	TotInt_130N_CC-S3	TotInt_130C_CC-S3	TotInt_131N_CC-S3	TotInt_131C_CC-S3	PSMs_Used_CC-S4	TotInt_126C_CC-S4	TotInt_127N_CC-S4	TotInt_127C_CC-S4	TotInt_128N_CC-S4	TotInt_128C_CC-S4	TotInt_129N_CC-S4	TotInt_129C_CC-S4	TotInt_130N_CC-S4	TotInt_130C_CC-S4	TotInt_131N_CC-S4	TotInt_131C_CC-S4	PSMs_Used_CC-S5	TotInt_126C_CC-S5	TotInt_127N_CC-S5	TotInt_127C_CC-S5	TotInt_128N_CC-S5	TotInt_128C_CC-S5	TotInt_129N_CC-S5	TotInt_129C_CC-S5	TotInt_130N_CC-S5	TotInt_130C_CC-S5	TotInt_131N_CC-S5	TotInt_131C_CC-S5
3537	1	sp|Q8C196|CPSM_MOUSE	 	 	"sp|B2RQC6|PYR1_MOUSE, sp|Q8C196|CPSM_MOUSE"	 	2125664694	69.8	1500	164616	"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Mus musculus OX=10090 GN=Cps1 PE=1 SV=2"	7379	7026	0.952	2389	2562	2428	2274	2441	2311	2386.915	2560.386	2426.254	2274	2536578823	2618228206	3003885677	173453788	3525875757	3823554831	1628963677	163150979	1839289444	2473540284	2178652147	2441	2359978009	2856181284	3301874518	173475874	2679256480	3526261514	2085737881	166890694	2294940094	3808234681	2325283103	2311	2182060723	2736146310	2433084567	160016178	2680275160	2390854348	2367938981	97545921	2331880032	1350786112	1873058833
914	1	sp|P16460|ASSY_MOUSE	 	 	 	 	665443012	66.7	412	46584	Argininosuccinate synthase OS=Mus musculus OX=10090 GN=Ass1 PE=1 SV=1	1125	1125	1	335	403	387	335	403	387	335	403	387	335	795399034	778793026	935984535	47094722	895352447	1059694154	412108535	42683908	610409683	733249474	631076952	403	981254673	992865199	1210592813	53804858	820762392	1079046105	587907940	47942895	858893882	1273676791	790674755	387	864314821	879492594	753344553	42535180	718388529	697920897	620142619	26948204	684842621	457843265	574577329
668	1	sp|P00329|ADH1_MOUSE	 	 	 	 	517506828	42.1	375	39771	Alcohol dehydrogenase 1 OS=Mus musculus OX=10090 GN=Adh1 PE=1 SV=2	697	697	1	228	239	230	228	239	230	228	239	230	228	867241829	461794492	968767691	40511341	811181238	1080431873	442285103	47977828	488923902	569395331	577851063	239	586177184	524392718	918766447	38949923	540928928	776887803	481466896	39053459	547685813	631184759	508549393	230	617318678	533021238	753895339	36876724	617638973	642010031	580609168	30372224	543694266	305763633	466120027
4416	1	sp|Q91Y97|ALDOB_MOUSE	 	 	"sp|P05063|ALDOC_MOUSE, sp|P05064|ALDOA_MOUSE, sp|Q91Y97|ALDOB_MOUSE, tr|A6ZI47|A6ZI47_MOUSE"	 	329867704	65.7	364	39507	Fructose-bisphosphate aldolase B OS=Mus musculus OX=10090 GN=Aldob PE=1 SV=3	1241	1199	0.966	409	415	417	395	401	403	407.742	413.847	415.794	395	416922075	296933177	436318583	21014298	378322448	584664776	255973513	24003674	340460315	412992499	316760536	401	431185635	388909931	548672305	25898690	335074001	660315209	362215486	29346858	487939840	510411053	377996901	403	370766269	357466572	388136358	22778551	328716482	456859667	411026685	18473009	382924720	211308452	294845677
850	1	sp|P12710|FABPL_MOUSE	 	 	 	 	314770442	68.5	127	14245	"Fatty acid-binding protein, liver OS=Mus musculus OX=10090 GN=Fabp1 PE=1 SV=2"	975	975	1	331	305	339	331	305	339	331	305	339	331	445035968	254449774	377428462	20260688	447575603	613164342	366397374	25760444	609733015	361501654	352130732	305	341159925	152748532	460913921	13203288	295784165	453338748	399735330	19298201	687338181	245181479	306870177	339	356799004	340672940	291935511	21255472	302489991	367267826	377530630	16731152	536314605	242107029	285310416
1878	1	sp|Q03265|ATPA_MOUSE	 	 	 	 	231860931	60.6	553	59752	"ATP synthase subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1a PE=1 SV=1"	1451	1451	1	452	509	490	452	509	490	452	509	490	452	345464326	260645193	374502678	17701455	348950467	397772825	204976680	17892888	289159346	272636944	252970280	509	294234662	201725826	386205672	12613079	268688121	342932050	254678731	14971397	334721850	292927165	240369855	490	269264397	270380827	277347479	14706959	248081219	251956175	263592660	9464753	273933517	143698590	202242658
1631	1	sp|P63038|CH60_MOUSE	 	 	 	 	208660011	70.2	573	60955	"60 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspd1 PE=1 SV=1"	1072	1072	1	371	343	358	371	343	358	371	343	358	371	259301177	210804964	272073456	12922813	314030799	315723035	164619719	13078983	216164809	231327495	201004725	343	246901136	194187794	348716637	12683204	250470605	311685962	243893540	13679268	287290274	259583902	216909232	358	262985644	295085397	265596874	17449385	277974731	259210873	265632642	11145046	274201994	151378186	208066077
1309	1	sp|P50247|SAHH_MOUSE	 	 	"sp|P50247|SAHH_MOUSE, sp|Q68FL4|SAHH3_MOUSE, sp|Q80SW1|SAHH2_MOUSE"	 	206942782	72.9	432	47688	Adenosylhomocysteinase OS=Mus musculus OX=10090 GN=Ahcy PE=1 SV=3	1166	1121	0.961	363	423	380	349	407	365	362.471	422.396	379.433	349	242822866	253411816	239242536	14982574	331695399	315844464	157646291	12210910	195938149	210200929	197399593	407	217416374	271863712	254901580	16597263	262135300	350470846	205976399	15585205	231968169	357697400	218461225	365	243478769	350308226	225339864	17864500	303841433	294632085	271987860	10303500	209825245	122093813	204967529
3964	1	sp|Q8R0Y6|AL1L1_MOUSE	 	 	"sp|Q8K009|AL1L2_MOUSE, sp|Q8R0Y6|AL1L1_MOUSE"	 	198184013	68.6	902	98708	Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Mus musculus OX=10090 GN=Aldh1l1 PE=1 SV=1	1278	1169	0.915	421	425	432	386	386	397	421	424.899	432	393	252640709	210997397	309614893	13623903	336487923	309629513	133284411	13875206	200901030	221875421	200293041	394	226351207	247736402	325458677	15503258	226071693	341057002	153811714	16345307	251390335	342847509	214657310	405	211711054	235458593	267687345	14188750	264878133	270198859	194685095	10404118	199468464	127336471	179601688
